,love,heartbreak,dreams,dance,night,freedom,revolution,soul,passion,mystery,magic,nostalgia,hope,fear,power
Killa Cam,0.7208711729007716,0.7090201469382764,0.7097556819201919,0.7534334707656734,0.7262600774687068,0.7106053239485774,0.737508254998658,0.7247317189037927,0.715479342274366,0.7187990092362823,0.7285694397212146,0.7179859798490806,0.7289740971246002,0.7042356849064997,0.7168516784716813
Can I Live,0.7425154713967773,0.7253870762274133,0.7236904310656173,0.7434783791862846,0.7319513546475253,0.7291053992305073,0.7453556495695104,0.7361855515020539,0.718226403564116,0.7176425961542167,0.7248069453571279,0.734254890774274,0.7542917970583551,0.7299450963097404,0.7379845701131078
Forgive Me Father,0.7435451846316993,0.7181630607284405,0.7245897993136571,0.7504541403879713,0.7433110233225829,0.7275423044570694,0.7366995649320089,0.7192760137557016,0.7200102156004571,0.7131417794658635,0.732615132038597,0.7364036151139929,0.7498678798666775,0.7249160325713758,0.7327946759785413
Down and Out,0.7245968591817317,0.710434669452123,0.711759625005962,0.7329334271021,0.7321369813476342,0.7177834986087915,0.7460705814567211,0.734062786177923,0.7166960844110638,0.7180444422968171,0.723021252848195,0.7208028360814378,0.727493078246812,0.7165763473293812,0.7240296122201436
Fly In,0.732297545031572,0.727226529989355,0.7203504404385572,0.74154052337219,0.7464259267753612,0.7206761123806149,0.7523861982307908,0.7331869055285061,0.7140105391983648,0.7255284573969748,0.7351779767860436,0.7411604314208118,0.7421769665337429,0.724440538468912,0.7278740454357968
Lollipop Remix,0.7492691461365576,0.7101000197667207,0.7110596795230965,0.7428657710499286,0.728505657585662,0.7080091899574835,0.7280729325610565,0.7214972290367313,0.7079823593835021,0.71293989979375,0.7193989798071062,0.7299212849658504,0.7295443714583368,0.7044630746045177,0.7193526095543054
Im Not You,0.7429092469239896,0.7303736881413975,0.7294752635301955,0.7498775557753469,0.7421287876290671,0.7310110835832203,0.7451359441774381,0.7378485546571943,0.7277873918770639,0.719216500915893,0.7316415037449927,0.7427478794039118,0.760484505318472,0.7314066701779192,0.7384309465119
Family Ties,0.7322418301843383,0.7151642791933093,0.7299262849813447,0.7628650679872776,0.7354197917567412,0.7219907191837016,0.7401155161929331,0.7336743684737461,0.7236603752013415,0.7208810635346318,0.736127024644419,0.7272265502653111,0.7487565754158761,0.7134591555532829,0.736290158039101
Rockin and Rollin,0.7367003138265364,0.7117189345409813,0.7142226598553573,0.7528401696293795,0.7374631062512861,0.7056754611744906,0.7392687437291489,0.7132194537250378,0.7097718981590545,0.7188666357924391,0.7243278603049429,0.7211235823335888,0.7354206899867254,0.6983974366408339,0.7188850480063985
Lord You Know,0.7315996300838996,0.7172149720137166,0.7247647534109748,0.7388273239639894,0.7483034957651973,0.7231222889286485,0.7389477853932446,0.7281067922917567,0.7136265706722974,0.7112408662262444,0.7310499508502113,0.7270704446571372,0.7653639465258116,0.7103307133568997,0.7271955923975736
Money On My Mind,0.7277940305534988,0.7108269158492985,0.7222920689246173,0.7296695436893753,0.7321604354858021,0.7156271236135058,0.7277832584617098,0.7158066105317195,0.7113741610767818,0.710315711796535,0.7126054777252212,0.7207080202112262,0.7268465440774428,0.7105723336616759,0.7251498949514041
Think Yall Know,0.7291847113858421,0.710574572823792,0.7042063111259446,0.7424010548470609,0.7349505240882235,0.7169505323686973,0.7273125486689738,0.722234604012654,0.6986159836963834,0.7148440557677078,0.7236322805140086,0.7239779338045015,0.7259641700656245,0.7197406332111633,0.7246166230104113
DEvils,0.7457083450942893,0.7142516260972039,0.740053521492827,0.7328320194195491,0.7378705724744725,0.7267700733379482,0.7417446171413692,0.7653731311976667,0.7222409008254703,0.749373785161249,0.7402656239764667,0.7325087353647828,0.764895793496314,0.7263593236234954,0.7330520943317659
December 4th,0.754545260084379,0.7463599980387919,0.7230462095385126,0.7535250906735204,0.7510973868406383,0.7394766415774388,0.7469631616357566,0.7476142852217723,0.7317605945751878,0.7421263442284572,0.7334360414814809,0.7428517837922148,0.7649917362122739,0.7413265126134067,0.7492576048732162
98 Freestyle,0.7269537981668196,0.7145782842988966,0.7112423532941883,0.7440029515931738,0.7412740942629371,0.7255201641233614,0.743727802652557,0.7271421825912168,0.7200270542556516,0.7115474027158402,0.7265539635323154,0.7274564928785338,0.7402118334285346,0.7129997885341093,0.7351280012341672
What Happened to That Boy?,0.730564980087734,0.710667389283726,0.713204310473587,0.7398745997168468,0.7425292731260252,0.7203575005136771,0.7377418338270328,0.7288523059887735,0.7090919422953029,0.7278958746995363,0.7285118602999664,0.7359667294784709,0.7342570599280537,0.7173779235476448,0.738889221550392
Its Hot Some Like It Hot,0.7294785996469052,0.7209440353203082,0.7152200177379908,0.7609310087114869,0.7404000802593096,0.7224420695509729,0.7540681731788534,0.7300552451920332,0.7199375442631659,0.7142893816768894,0.7353692632191693,0.727720258356085,0.7396221094431845,0.719403717379914,0.7323498991220442
Losing Weight Pt. 2,0.7423952967332357,0.7272557936372261,0.7249123075955611,0.7544810702707879,0.7418795073666045,0.7352898531566326,0.7534076079116776,0.7355844037298301,0.7233589840889626,0.7217243869156467,0.7282208449523613,0.7253599598639562,0.7509982578898046,0.7279405276846793,0.7338819157567463
Its Like That,0.7332597702682554,0.7184217313615022,0.7103590936630023,0.7613002784514126,0.7387235010967637,0.7269591422881864,0.7507684905820824,0.7334868058317182,0.7146118795423572,0.7146248350892104,0.7362553804005746,0.7303242185898808,0.7462748472107072,0.7115469393874495,0.736094790354854
More Gangsta Music,0.730500552608769,0.7212381656098058,0.7233899266983232,0.7711616725140812,0.7321813017198261,0.7272893469202124,0.7552727069437515,0.7420679835716403,0.7267913737656635,0.7174985881756429,0.7293673932775333,0.7307986728800079,0.7404707847139097,0.7229493113823603,0.7331148064778307
