,drill,soulful hiphop,emo rap,midwest,cloud rap
Killa Cam,0.7249128754349283,0.7652591603582161,0.7638556077970949,0.6976288358909886,0.7671719701844468
Can I Live,0.7315360585151186,0.7824719521539867,0.7682354279128577,0.7117340569304026,0.7636882413114943
Forgive Me Father,0.7533836014560568,0.773465602008197,0.7652831813299089,0.7175251505299841,0.7656626512846486
Down and Out,0.7264041574633423,0.783121815290548,0.7618415026071187,0.7407603531196163,0.7679433782758537
Fly In,0.7416011826153794,0.7836519626818245,0.7669347657391714,0.7130068197813093,0.7707383345657813
Lollipop Remix,0.7306554430735588,0.7702865077542396,0.753618657354465,0.7139422595052709,0.7488293704348581
Im Not You,0.7460707258172979,0.8010748986249749,0.7844508551003003,0.7319738296141995,0.7797298920692575
Family Ties,0.7494498403700879,0.7915263880036788,0.7779826927431652,0.7219655145804915,0.7761455459308341
Rockin and Rollin,0.7299371643934022,0.7658987833551832,0.7625593070925908,0.6993164890156923,0.7622517817274712
Lord You Know,0.7198346987985373,0.777296003142611,0.7640567646957243,0.706448280925125,0.7684777575868184
Money On My Mind,0.7312203735711323,0.7506993823196081,0.7516683858886196,0.7019180308065386,0.7424137710933217
Think Yall Know,0.7187790046794647,0.7743047781995455,0.7659431851654782,0.7056364545092619,0.7583421152026579
DEvils,0.7194879542589736,0.8016929527574588,0.7615346536479045,0.7027142875587312,0.7528550137581844
December 4th,0.7283653590273708,0.7865494892639533,0.7588898927765889,0.7240488560480678,0.7799364607145888
98 Freestyle,0.73397926153463,0.7819301004023527,0.7684445542504579,0.7268703118204031,0.7679883304751838
What Happened to That Boy?,0.7402470143239371,0.7689576499858741,0.768150641200001,0.7124453721240632,0.7655106380870341
Its Hot Some Like It Hot,0.7451496678413575,0.7978482574198957,0.7556181510256146,0.7127633976311197,0.7836328984529473
Losing Weight Pt. 2,0.720379993169875,0.7720286671662975,0.7686850747626628,0.7235239416320388,0.767792554625204
Its Like That,0.7360033905355606,0.7955518621248678,0.7740794427021896,0.7217686932040086,0.787289909576061
More Gangsta Music,0.7264184476811866,0.790546554798035,0.7738538343131424,0.7273743425326016,0.7709987719005708
