,drama,horror,comedy,action,investigation,scifi
The Shawshank Redemption,0.7797217417401806,0.7667115338730777,0.7913464171898151,0.7766287895221584,0.7589996484162221,0.7603355958762751
The Godfather,0.7852878313756914,0.765470824413443,0.7671844411109748,0.7701185319499746,0.7638677301304629,0.7636029803123876
The Dark Knight,0.770702669821214,0.7763071368569863,0.7695586550245059,0.7607624410079362,0.7532053709341953,0.7543583981188525
The Godfather: Part II,0.7725867223526669,0.7592655883237662,0.7663450401555215,0.7593359299769163,0.7497191681750037,0.7374135385769515
12 Angry Men,0.7652371825522838,0.7471108047412727,0.7519225811868306,0.7624891435899595,0.802067179659871,0.7465479665318789
The Lord of the Rings: The Return of the King,0.7678551696700984,0.7486631249791086,0.75400426382867,0.7671439704508056,0.7270885788636279,0.767302435546684
Pulp Fiction,0.7949588075248136,0.7783844086712525,0.7945509118662609,0.7670391766041682,0.7435657386212065,0.7608904231491614
Schindler's List,0.7502756848826676,0.7571668753065505,0.7349519562419169,0.7502089243122011,0.750066376798816,0.7457575669706475
Inception,0.7504654164532019,0.7593729938610989,0.7541565759630774,0.7590733821583784,0.7611933734718725,0.7632827899306153
Fight Club,0.8003422182404085,0.801034225879674,0.8038715092463798,0.7757503222095515,0.7498132122834232,0.8060533466911448
The Lord of the Rings: The Fellowship of the Ring,0.7612286038208053,0.7570664763428391,0.7645300190578027,0.7688984805877832,0.7233480701588318,0.7723664205092096
Forrest Gump,0.7808862502668371,0.7562759970634922,0.7698996500594008,0.7669017814787386,0.7660045176570701,0.7681733584219492
"Il buono, il brutto, il cattivo",0.7717589997381035,0.794412855555439,0.7813830429854138,0.7636095857055689,0.774719593874371,0.788679739158115
The Lord of the Rings: The Two Towers,0.7589893429681432,0.7524199444314369,0.7507448357232963,0.753363577737488,0.7234033480199988,0.7659345460286796
The Matrix,0.7703253563059251,0.7830368306390026,0.7643508210591172,0.7588730250883886,0.7526153310262852,0.8061769416916283
Goodfellas,0.7631292079748202,0.7641423135598198,0.7667843962595899,0.7390458480003641,0.7462614042040012,0.7315103166424399
Star Wars: Episode V - The Empire Strikes Back,0.7423206159434327,0.7468771401078546,0.7405472661353859,0.7609889299190961,0.7235234147979338,0.7721031935847465
One Flew Over the Cuckoo's Nest,0.7815069426662637,0.7916289089371241,0.7697077147256627,0.7602076402355026,0.7491565807298048,0.7594396501984751
Hamilton,0.7588739884779422,0.7353385931456222,0.7571434092831058,0.7487300020190563,0.7189408098033273,0.7339583377957868
Gisaengchung,0.7941454798056143,0.7660104698891261,0.7666574342432603,0.7609331316919121,0.7440808220371242,0.7501194276259475
