,political,economic,sociological,technological,legal and environmental
The Hunger Games,0.1309703989091537,0.11520643001694401,0.07367377088004495,0.04546644744433899,0.08974758482284086
Harry Potter and the Order of the Phoenix,0.08685132023675457,0.041102480320015726,0.08921974542766498,0.05521076865635444,0.06566279118044374
To Kill a Mockingbird,0.048215008057109376,-0.01159011293663271,0.13100717742206408,0.01941998835004239,0.0559753507176054
Pride and Prejudice,0.08000314291142448,0.08764594097215343,0.09748875530360691,0.019879241002198,0.0574581698830149
Twilight,0.11401052855736576,0.03988501181259951,0.09499073696321596,0.09262829958982571,0.0311379002369054
The Book Thief,0.029199456182686153,0.027641730866341273,0.11504747381213222,0.020858180019634104,0.04531108401608075
Animal Farm,0.1377976874010104,0.10230435466974776,0.16751987170443722,0.040625596163338246,0.08162447239088448
The Chronicles of Narnia,0.008203442617977985,0.05308285932272994,0.033767549968154134,-0.0072019435861448555,0.053820777495340935
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,0.056206348929522545,0.029723332253930763,0.04902456219741005,0.019934532540418312,0.05906129096646313
Gone with the Wind,0.07116133089502362,0.10787705126907192,0.13756572052426438,0.014458473989601863,0.06965439465370638
The Fault in Our Stars,0.05573143371462029,0.02882576778838409,0.12001356152897252,0.08859065023363873,0.07327214327458721
The Hitchhiker's Guide to the Galaxy,0.08343697732429146,0.053356581034819495,0.10730905081025263,0.09682208517614578,0.06472749590541062
The Giving Tree,-0.00042964732073159863,0.042547594312456034,0.015076983900936642,-0.022646985047309914,0.015507095493719477
Wuthering Heights,0.02166387969390391,0.08875801427339111,0.11481664743828525,0.07554732394876011,0.07601497081211969
The Da Vinci Code,0.11181576535795926,0.05967347183320559,0.1546962526679558,0.09135059582691428,0.05528115686513472
Memoirs of a Geisha,0.06833173342194633,0.08689677450423508,0.12962879287626758,0.040450538037144726,0.057748530410632784
The Picture of Dorian Gray,0.14347134477898693,0.12203243779821443,0.20650754915616237,0.03435239837041928,0.10048076653816383
Alice's Adventures in Wonderland & Through the Looking-Glass,0.0439853407383334,0.03798108817169591,0.10743122286993233,-0.0037582161300434938,-0.003142819507824003
Jane Eyre,0.03189161018608691,0.054573465890994016,0.14363117350686377,0.06176234110318703,0.08787920605841837
Les Misérables,0.07361698037785236,0.03165297455789795,0.15124295923366085,-0.016579952025826482,0.036920375553222626
