,dystopia,science fiction fantasy,world war,romance,vampire,survival
The Hunger Games,-0.24344041866979466,0.33777389045519474,0.6554551905716601,0.2154311054874319,0.10727769353926014,0.33156877152061687
Harry Potter and the Order of the Phoenix,-0.2188848263346876,0.37288971011011135,0.6653401431444516,0.23722084085193781,0.1173991735205974,0.33093524933159796
To Kill a Mockingbird,-0.2123896786517266,0.44161583820205574,0.6361415388900494,0.3098743033997741,0.14174198550572153,0.2900660107877344
Pride and Prejudice,-0.16339144045277915,0.4856809035875995,0.6037375528674472,0.3938717232208089,0.19468323439588167,0.28082393802822914
Twilight,-0.20589238720489123,0.3753577641896172,0.6009277700542432,0.30506221829738905,0.15123625960610249,0.2801144626437409
The Book Thief,-0.22527726477998558,0.41068464933840815,0.6568951517544895,0.2835706083220052,0.14141927529429718,0.30582933116756694
Animal Farm,-0.16883113307836284,0.4117880065496736,0.655516271786488,0.2642184353646229,0.13256772634294037,0.3200872472544901
The Chronicles of Narnia,-0.21293608362287786,0.46549769005340463,0.6673632417490056,0.29965079299641456,0.16609992744348281,0.3017418958148807
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,-0.15303220767226786,0.447518716698879,0.6389445971570916,0.28618717767584895,0.20022860243071025,0.28498495802523965
Gone with the Wind,-0.2589762944503655,0.2989780539175313,0.5957448754786204,0.23076420737811842,0.132942562857607,0.288012960901436
The Fault in Our Stars,-0.21602401406575272,0.42881583941580426,0.6406370266816827,0.3087560140755502,0.13845373835823674,0.3068414384383023
The Hitchhiker's Guide to the Galaxy,-0.2179338064739413,0.3801438999222059,0.6328759581220154,0.2362645732426105,0.11435866642200707,0.2867660046539462
The Giving Tree,-0.24935744657008385,0.37211747359810127,0.6130813475376417,0.274724673007894,0.1238254662999816,0.2897408551124211
Wuthering Heights,-0.20844534111135563,0.4624485966008341,0.6250867671955468,0.2711158327593943,0.12363188065976928,0.2630603590423992
The Da Vinci Code,-0.24004017847697684,0.40044301291928464,0.6435514127303871,0.24609495104064075,0.1413572761338623,0.28442558906056115
Memoirs of a Geisha,-0.16386101701444583,0.4635647170902818,0.6467582507716627,0.3398594718010876,0.16672044400209496,0.2994507060798684
The Picture of Dorian Gray,-0.17692745104076155,0.4106100935172765,0.6629024259167573,0.2965458635043851,0.1679328367897833,0.29865280249869924
Alice's Adventures in Wonderland & Through the Looking-Glass,-0.18345164875591657,0.4404490503627246,0.6094031356443601,0.302294287352902,0.16102282339180063,0.29788135235756735
Jane Eyre,-0.23508813074492557,0.3480242669077302,0.6033845595821362,0.2567314970107921,0.17393803766574242,0.2695905245812717
Les Misérables,-0.19363864216843374,0.4105659927659524,0.6574150798224918,0.2898092108119729,0.15485820629218663,0.3099013350465415
